,,,,,,,,,,,,,,,,
Symbol,Name,Alpha (Since Inception),Historical Sharpe Ratio (3Y),Historical Sharpe Ratio (5Y),Information Ratio (vs Category) (3Y),Information Ratio (vs Category) (5Y),Daily Value at Risk (VaR) 5% (5Y Lookback),Batting Average (5Y Lookback),Batting Average (3Y Lookback),Upside/Downside Ratio (3Y),Upside/Downside Ratio (5Y),Max Drawdown (3Y),Max Drawdown (5Y),Daily Value at Risk (VaR) 5% (3Y Lookback),Global Peer Group Name,Peer Group Name
S:0P0000RWVZ,Zacks Focus Growth Strategy,2.16817,1.2094,0.8194,0.62,0.49,0,0.566667,0.611111,1.225104,1.028722,0.285716,0.285716,0,,
S:0P0000ZS2X,Churchill ETF Sector Rotation,,0.172,0.9473,-0.21,0,0,0.283333,0.222222,,,0.19937,0.19937,0,,
S:0P00014GB9,SaratogaRIM Large Cap Quality Focus,0.812254,0.5617,0.6482,-1.03,-0.55,0,0.4,0.388889,0.826966,0.904153,0.206691,0.206691,0,,
S:0P00014JME,Churchill Moderate,,0.1071,0.7399,0.47,0.66,0,0.283333,0.277778,,,0.178899,0.178899,0,,
S:0P00014LQ2,St. James High Dividend Yield Portfolio,1.840498,0.3409,0.6677,-0.5,-0.42,0,0.416667,0.388889,0.845369,1.075513,0.143421,0.143421,0,,
S:0P0001519I,Templeton Emerg Markts SmlCap Composite,1.228909,0.5491,0.6639,0.61,0.98,0,0.516667,0.472222,1.085474,1.257977,0.274343,0.274343,0,,
S:0P00017XPP,Sawgrass Small Cap Growth Equity Comp.,-0.880621,0.615,0.6507,0.63,0.88,0,0.433333,0.361111,0.858145,0.962197,0.183823,0.183823,0,,
S:0P0001ABXS,Washington Crossing Rising Dividend,0.901609,0.3309,0.5762,-1.2,-0.59,0,0.45,0.416667,0.76445,0.91899,0.146233,0.146233,0,,
S:0P0001AJ6A,Capital Group U.S. Core SMA,-2.032379,1.0794,0.7687,1.09,0.5,0,0.433333,0.472222,1.087837,0.961628,0.262047,0.262047,0,,
S:0P0001BSCZ,Polen International Growth - ADR,-0.620943,0.2677,-0.0137,-0.23,-0.47,0,0.383333,0.416667,0.806282,0.704555,0.357602,0.357602,0,,
S:0P0001C1S8,Capital Group International Growth SMA,-1.220978,0.4076,0.2021,0.62,0.53,0,0.483333,0.472222,0.860114,0.823727,0.363237,0.363237,0,,
S:0P0001C1UV,Capital Group Global Growth SMA,1.620855,0.7532,0.4959,-0.37,0.23,0,0.566667,0.611111,1.12234,1.0226,0.334189,0.334189,0,,
S:0P0001ILO5,Camelot Quantum Equity,-0.696598,0.662,1.0038,0.86,1.28,0,0.5,0.416667,0.90986,1.22101,0.121961,0.151345,0,,
S:0P0001KAKI,Dearborn Partners All Cap,,0.2548,0.9363,0.04,-0.11,0,0.45,0.5,,,0.212633,0.227992,0,,
S:0P0001L290,Ativo International ADR,2.167937,0.8819,0.6001,1,0.55,0,0.633333,0.694444,1.181431,1.08134,0.273632,0.273632,0,,
S:0P0001MATZ,Schafer Cullen Water Asset Mngmt. Impact,3.684692,0.3323,,-0.63,,,,0.416667,0.836912,,0.225586,,0,,
S:0P0001MPYU,Alpha Quant Mid Cap Quality,,0.3045,0.7279,0.8,0.3,0,0.516667,0.5,,,0.296607,0.296607,0,,
S:0P0001MPYY,Alpha Quant Small Cap Quality,,0.0313,0.8088,0.5,0.83,0,0.483333,0.416667,,,0.228395,0.298593,0,,
S:0P0001N1NM,Churchill Premier Wealth Tactical Model,,0.3105,0.3394,0.33,-0.22,0,0.416667,0.5,,,0.15098,0.15098,0,,
S:0P0001NA2V,Suncoast Equity Dividend Growth,3.212327,0.8196,0.8833,-0.54,-0.02,0,0.5,0.527778,1.038376,1.091048,0.184021,0.184021,0,,
S:0P0001NKFW,Winslow U.S. Large Cap Growth ESG,1.473456,1.0089,0.5876,0.31,-0.23,0,0.5,0.527778,1.040538,0.87731,0.370683,0.370683,0,,
S:0P0001NKTP,City Different SMID Cap Core,-6.324831,0.532,,0.54,,,,0.472222,0.816971,,0.293044,,0,,
S:0P0001PED0,City Different Focused Global Equity,13.913931,1.5795,,1.94,,,,0.638889,3.28019,,0.263782,,0,,
S:0P0001PELR,City Different Global Equity,12.704598,1.653,,2.09,,,,0.666667,3.636556,,0.287921,,0,,
S:0P0001Q9OF,Ativo Small Cap Concentrated,-2.159829,0.6729,0.7402,0.89,0.73,0,0.466667,0.416667,0.932298,1.0313,0.210625,0.210625,0,,
S:0P0001QA5S,Ativo Mid Cap Concentrated,-2.726807,0.6801,0.6646,1.35,0.38,0,0.45,0.472222,0.870932,0.925474,0.232159,0.232159,0,,
S:0P0001UE4J,Avantis US Select Large Cap Value SMA,-8.595764,,,,,,,,,,,,,,
S:0P0001URSQ,Dundas International Equity Growth,-4.362555,0.4361,0.281,-0.98,-0.81,0,0.35,0.361111,0.782433,0.731361,0.359504,0.359504,0,,
SAWS,AAM Sawgrass US Small Cap Quality Growth ETF,-12.491783,,,,,,,,,,,,,Equity US Sm&Mid Cap,Small-Cap Growth Funds
SFLO,VictoryShares Small Cap Free Cash Flow ETF,-20.306244,,,,,,,,,,,,,Equity US Sm&Mid Cap,Small-Cap Core Funds
VFLO,VictoryShares Free Cash Flow ETF,0.895298,,,,,,,,,,,,,Equity US,Multi-Cap Value Funds
